name,position,pace_per_game,coaching_aggressiveness,home_field_advantage,injury_adjustment,completion_pct,yards_per_attempt,touchdown_rate,interception_rate,epa_per_play,success_rate,yards_per_route_run,explosive_rate,pass_block_win_rate,run_block_win_rate,pressure_rate,pass_rush_win_rate,run_stop_win_rate,success_rate_allowed,coverage_grade,interception_rate_def,epa_per_play_allowed,rush_epa_allowed,yards_per_carry_allowed,rush_success_allowed,field_goal_pct,punt_epa,kick_return_epa
Springfield Atoms,,11.8,1.05,1.2,1.0,,,,,,,,,,,,,,,,,,,,,,,
Alex Thompson,QB,,,,,0.675,7.8,0.055,0.02,0.18,0.52,,,,,,,,,,,,,,,,,
Marcus Lane,RB,,,,,,4.6,,,,0.46,,0.12,,,,,,,,,,,,,,,
Trevor King,WR,,,,,,,,,,0.5,2.1,0.17,,,,,,,,,,,,,,,
Derrick Holt,TE,,,,,,,,,,0.48,1.8,0.12,,,,,,,,,,,,,,,
Jamie Barnes,OL,,,,,,,,,,,,,0.61,0.76,,,,,,,,,,,,,
Riley Cooper,OL,,,,,,,,,,,,,0.58,0.74,,,,,,,,,,,,,
Eli Carter,DL,,,,,,,,,,,,,,,0.26,0.47,0.35,,,,-0.02,-0.02,4.1,0.4,,,
Noah Freeman,LB,,,,,,,,,,,,,,,0.25,0.46,0.34,,,,-0.01,-0.01,4.2,0.41,,,
Caleb Ortiz,CB,,,,,,,,,,,,,,,,,,0.48,71,0.03,-0.05,,,,,,
Logan Price,S,,,,,,,,,,,,,,,,,,0.49,69,0.028,-0.04,,,,,,
Ethan Myers,K,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,
Cole Turner,P,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,
